m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
java.awt.geom.Area	0.40275055	-0.39585537	0.041366756	1.0508759	-0.14481227	-0.026978914	0.11562683	-0.0010421902	-0.31841993	-0.020406699	-0.3672076	-0.33025533	0.469584	0.038691085	-0.45606065	0.28732872	0.10237251	-0.1498057	-0.8525998	-0.2470839	-0.16861407	0.9207442	0.41618544	0.063882336	0.46417955	0.16435564	0.12307207	0.226453	0.45627627	-0.28709218	-0.078961894	-0.011399909	9
java.awt.geom.AreaIterator	0.23831727	-0.6798424	0.033338778	0.639685	-0.03956299	-0.05830407	0.074497856	-0.05906027	-0.38874924	-0.39202812	-0.21526821	-0.17558716	0.22279511	0.006738694	-0.3427371	0.14711308	-0.21739334	0.25468576	-1.0169384	-0.2985659	-0.36084795	0.35675398	0.1941435	-0.27613646	0.4865766	-0.007437921	0.32342404	0.3205912	0.3305765	-0.8702927	-0.4970549	-0.12884374	9
java.awt.geom.CubicCurve2D	0.36897847	-0.5588254	0.11226096	1.0819383	-0.18126488	-0.09329822	0.11589071	-0.06644362	-0.26934147	-0.12317964	-0.5557797	-0.33426532	0.38826486	0.22696918	-0.36613646	0.266296	0.18517715	0.028105268	-0.7897101	-0.2963057	-0.06870984	0.7353777	0.3662135	-0.02579344	0.617974	0.03214259	0.19071601	0.56670904	0.18749796	-0.32912055	-0.14877507	-0.043864362	9
java.awt.geom.CubicIterator	-0.109211534	-0.27579138	0.0014383846	0.38972726	-0.11311269	-0.102891855	0.2456478	-0.11416385	-0.43084645	-0.4146678	-0.37760714	-0.30700484	0.35344404	0.10766519	-0.38758376	-0.15091063	-0.05858527	-0.1615965	-0.8183464	-0.13134219	-0.12082209	0.6435107	-0.19994725	-0.15959966	0.307357	0.21083035	-0.27985245	0.3972919	0.22020623	-0.6459499	-0.39061856	-0.016066203	9
java.awt.geom.Dimension2D	0.08742002	-0.38060457	0.19480307	0.9070746	0.07422524	0.10728083	-0.103799365	-0.036686257	-0.19750328	-0.43943474	-0.38408756	-0.31603068	0.5460038	0.43248132	-0.35538834	-0.022441829	0.37801495	0.37182617	-0.74510354	-0.4450225	0.019447329	0.77252066	0.44978967	-0.080675416	0.64719564	0.36908585	0.110852346	0.22346938	0.30871606	-0.27135813	0.06364714	-0.38352683	9
java.awt.geom.Ellipse2D	0.16618876	-0.5830847	-0.042053174	0.8102852	0.08312285	0.07531579	-0.013559876	-0.055197854	-0.38316184	-0.15250699	-0.5871795	-0.13944568	0.46128044	0.15282151	-0.4030161	0.055456918	0.2756567	0.1924109	-0.95103157	-0.3690314	-0.051088233	0.9816974	0.25201884	-0.06388427	0.769924	0.37246737	0.053218186	0.36383215	0.32136154	-0.23072347	0.054145712	-0.2814186	9
java.awt.geom.EllipseIterator	-0.12984143	-0.25659445	-0.4311808	0.6677391	0.044942163	-0.091533676	0.28932962	-0.16994457	-0.5330013	-0.3583511	-0.327153	-0.035181955	0.5948213	0.15609129	-0.4280353	0.07283045	0.19218186	0.08679907	-0.7420392	-0.1844217	-0.22408794	0.5117053	0.25263533	-0.2079551	0.36167097	0.02179615	-0.37725252	0.17633997	0.2460857	-0.23758705	-0.3887447	-0.21584691	9
java.awt.geom.FlatteningPathIterator	-0.0150739495	-0.2965148	-0.090218596	0.51078105	0.023600364	-0.16692027	0.25772464	0.12713034	-0.58702624	-0.31324756	-0.42636707	-0.10180885	0.40051836	0.04638912	-0.45344993	-0.063428484	-0.029142482	-0.02199552	-0.84761566	-0.117300965	-0.23818775	0.55655825	0.23150143	-0.07917075	0.32393664	0.13258609	-0.3408572	0.2040119	0.26756072	-0.21999757	-0.18076351	-0.13325106	9
java.awt.geom.GeneralPath	0.22879228	-0.4017129	-0.22734588	0.99733806	-0.0015688267	0.112112135	0.45220885	-0.120117344	-0.2989363	-0.12675384	-0.5703068	-0.28267062	0.24367605	0.06473288	-0.20354837	0.23948206	0.14925802	0.12197618	-0.96069497	-0.2998513	-0.09941306	0.81439024	0.15050335	-0.023448803	0.488168	0.37812123	0.019332133	0.3872167	0.50335497	-0.35979083	-0.15592757	-0.23205931	9
java.awt.geom.IllegalPathStateException	-0.3499606	0.053422436	0.14989334	0.18440619	-0.10718361	-0.09923996	0.82533413	-0.41872308	-0.079666905	0.13268995	0.026474947	-0.09200796	0.16865215	0.037948843	0.05374223	-0.44558567	-0.5840588	0.5899215	-0.35501662	-0.024725271	0.00095838157	0.3841522	0.2904018	-0.2273814	0.36151856	-0.14463407	-0.2025513	-0.0062298593	-0.24605925	-0.25701472	0.11604908	0.190187	9
