m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Gustaf Solerød Christensen	-1.1678572	0.17284064	0.95515925	-0.39974773	0.10132297	0.4063587	-1.2791861	-0.24117687	-1.193213	1.130335	-1.3647631	0.4721497	-1.453372	-0.74168724	-0.78500205	-0.17535368	-0.7741982	0.80101866	-0.55429006	0.04649987	-0.24735321	1.0201092	2.3995354	-0.8971607	1.1759748	1.3928834	0.027280802	0.2908162	0.019250762	1.4641367	-0.10693841	-0.1957206	1
Tore Enger	-1.172118	0.12951198	0.9109717	-0.39542088	0.23123513	0.39187115	-1.3069413	-0.23267655	-1.1496075	1.2176027	-1.3408883	0.5242663	-1.4608986	-0.71063405	-0.79165083	-0.20089325	-0.71762663	0.7971831	-0.52660584	0.13420793	-0.27219534	1.0198895	2.4780304	-0.9364882	1.2035977	1.4063969	0.042794276	0.2976622	-0.024532292	1.4238853	-0.15710358	-0.21406636	1
Jonathan Harry Lourie	-1.3247703	-0.4295842	0.7602387	-0.5039636	1.1229775	-0.49798745	0.07201583	-0.107782744	-1.3530295	0.6041602	0.10038985	-0.41926715	0.58326346	0.3418909	0.88127685	-0.6977822	0.89251465	-0.8375283	-0.2693352	1.0742508	-0.5805317	0.4724374	0.7512395	0.37811187	0.27170643	0.5438937	-0.6396646	0.038933903	0.35142395	-0.9568343	-0.9784436	1.0602578	1
Kristen Stein Jakobsen	-1.3779225	-0.5263919	0.7663338	-0.4797441	1.1200209	-0.51801914	0.15438114	-0.14222373	-1.4422362	0.6453775	0.12185688	-0.44079924	0.54443264	0.32302016	0.9333597	-0.6145364	0.95531684	-0.9068147	-0.3174812	1.0585592	-0.59185165	0.50893575	0.7299346	0.23537152	0.22932664	0.59744185	-0.59739536	0.11182652	0.34350038	-0.90899986	-0.9138194	0.9945148	1
Walter Sognnes	-1.3645695	-0.5684554	0.7492288	-0.60948676	1.2921358	-0.60325575	0.24201138	-0.1958091	-1.6448815	0.503706	0.097913116	-0.40993237	0.70948887	0.2590203	0.9107698	-0.75849473	0.97814375	-0.97715336	-0.31368303	1.0625708	-0.5051968	0.39532307	0.7638059	0.31315783	0.27683148	0.53430283	-0.61985797	0.016725497	0.34922373	-0.8305007	-1.040122	0.9774252	1
Gabriella Teodora Bastiani	0.07759047	0.8735	1.093686	0.29658082	0.3932218	-1.3997519	0.3200727	-0.49747896	-0.3072594	0.28654805	-0.016911792	-0.38665855	-1.7347175	0.08987849	0.4033853	-0.59374654	-0.6797627	0.8003004	-0.63347137	0.9912157	-0.021351727	0.88713324	1.000424	0.24853145	-0.074610546	0.50930566	-1.4360293	-1.283021	-0.8013934	0.23035558	-1.1134411	0.39036268	2
Finn Lervik	0.006980672	-0.30754575	0.60954404	-0.00040218572	0.5959367	-0.29876146	-0.58188975	-0.020138007	-1.1007282	0.49233162	-0.588814	0.02941728	-0.19763115	0.072405696	0.06187923	-0.7024908	0.28533262	-0.21883096	-1.0678837	1.1008565	-0.00756467	0.6008145	1.6544769	-0.07599691	0.4584988	0.80298793	-1.3221428	-0.64934146	-0.39781362	0.20558617	-0.6198862	-0.03233085	1
Tone Liset	-0.020010432	-0.29451123	0.59560466	-0.039633438	0.5863689	-0.31391242	-0.5059389	-0.009451645	-1.0429022	0.44345382	-0.57725954	0.0025987767	-0.2058695	0.06547983	0.07752624	-0.69013834	0.28101555	-0.26117653	-1.0457577	1.06746	0.048699275	0.6095689	1.6125888	-0.03674661	0.45374194	0.74575615	-1.2903303	-0.6518213	-0.41180024	0.16932414	-0.59219676	-0.00567398	2
Willy Gautvik	-0.08262078	-0.26776776	0.6634594	0.003453677	0.6133216	-0.26895264	-0.51856697	0.043598745	-1.0890807	0.5049822	-0.6235935	0.00068002247	-0.16980065	0.08603058	0.08583786	-0.65123564	0.2810175	-0.23279946	-1.0565869	1.1964352	0.0022372892	0.58086264	1.6130185	-0.04712106	0.43222353	0.74676013	-1.2565548	-0.6005332	-0.30634633	0.17201021	-0.61202216	-0.077578545	1
Franz Peter Göran Lindelöv	-0.40503472	-1.4307655	0.087689176	0.09811954	-0.05955327	-0.5912207	-0.10137272	-0.11078508	-1.2150456	0.39412048	-0.50562906	-0.061113648	-1.6822515	-0.783735	0.21358205	0.7877393	1.1357205	-0.21164046	-1.1899624	1.2440064	-0.5466988	1.7362987	0.27132696	-0.8564899	-0.4783047	0.7405966	-0.8971718	-0.7600136	0.4956812	1.0228237	-0.34429345	-0.50882405	1
