m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Erik Štrumbelj	0.17461525	-1.0413605	-0.16775101	-0.13200372	0.45570636	-0.5355016	0.2429084	-0.48850903	-0.46862072	-0.45028025	0.17538425	-0.7568766	-0.52367926	-0.091840476	0.2401439	1.6388408	-0.72224855	0.50137746	0.30044708	0.8166194	0.14935444	-0.28703803	-0.042660274	-0.37569904	0.31516844	0.4301283	-0.539995	0.42612302	0.9812209	-0.11720072	-0.6264199	-0.5003631	7
Uroš Legat	-0.11572591	-0.790595	-0.15946788	0.0032262527	0.24320185	-0.8402827	0.95536894	-0.10316911	0.6693579	0.22629184	-0.3880826	-0.06753479	0.07068188	0.5560013	-0.36482316	1.3572767	0.44585937	0.11599252	-0.74226505	1.0508928	-0.08645112	-0.116698965	0.7666377	-0.4460037	0.26625875	-0.087135695	-0.19200863	0.8655028	0.43730688	-0.757498	-0.17532204	0.8128749	1
Vid Podpečan	0.41776937	-0.45432922	0.33791518	-0.3147895	0.29953802	-0.36122227	0.9051112	0.113945775	-0.101121046	-0.18682902	-0.083972044	-0.83037883	0.03064128	-0.42230186	-0.10924264	1.1141554	0.15025358	0.9268599	0.06467629	1.0316306	0.1654484	-0.5601626	0.020585736	-0.43708056	0.48083174	0.1514131	-0.12601992	1.0704076	1.1018685	0.34919095	0.0014337127	-0.07698983	3
Dejan Hrnčič	-0.5361612	-0.41340888	0.21158047	-0.6227937	0.48269713	-0.16211578	0.8980324	-0.22532451	-0.53673804	0.4294196	1.1574296	0.10999259	0.010455202	-0.534306	0.25204417	0.6363048	0.4219244	-0.38996717	0.026865106	-0.22694519	0.17148595	0.6038211	0.63826597	-0.72639334	0.20610765	0.63014907	-0.4382162	0.58659446	0.42423925	-0.4696902	0.81615037	-0.40240082	3
Boštjan Grašič	0.36714658	0.16945815	-0.39093304	-0.17082983	-0.058789946	0.3436881	0.762953	0.2643333	0.069459006	-0.008581583	0.5144419	0.040195916	0.021741401	0.4390132	-0.29577246	0.25694367	-0.23197313	0.08061169	0.43649223	0.26212108	-0.32040069	0.937519	0.038761787	-1.1152524	-0.23862877	1.1269437	-1.4220526	-0.41613102	0.69308496	-0.62089866	-0.57832575	0.41548106	0
Miha Štajdohar	-0.6865101	-0.043500517	-0.11417588	-0.18846929	0.11399958	-0.008038491	0.790137	-0.31898543	-0.5489052	-0.5126061	-0.040002838	0.042313375	0.3244056	-0.7398979	0.06403217	1.2025892	0.020587351	0.63925797	0.5460349	0.30521613	-0.78125036	0.037400004	-0.21166171	-0.1416426	-0.27570263	-0.23560716	-0.8161053	0.4508915	0.8522712	-0.87424785	0.317322	-0.07495871	7
Andrej Ikica	-0.28453255	0.7079378	-1.6149333	0.56510407	0.8272676	-1.944941	1.9467425	-1.0639012	-0.5415157	-0.36297414	-0.9437652	-0.02751351	-0.33438745	-1.9381539	-0.96513355	0.81718194	-0.47201627	-0.39048365	-0.1348409	1.4361119	1.188895	0.24795586	-0.4888458	-0.3687847	0.04000232	0.968303	-1.3940524	0.3800921	1.4718295	0.68025196	-0.41872436	1.5111624	1
Kristjan Košič	0.4233573	-0.11989895	-0.96133107	-0.020305667	0.12469518	0.170952	1.0213908	-0.2248503	-0.17415005	0.7185663	0.22979663	0.37332994	-0.032926496	0.59991044	-0.8435856	-0.29042062	-0.49643642	0.958923	0.7918108	0.3644806	0.066182345	1.1881915	-0.041935064	-0.568239	0.60716003	0.5072504	-1.6990728	0.25789732	0.5868218	-0.42359105	-0.032950353	0.666167	3
Matej Ožek	-0.5607938	-0.77787435	0.18465829	-0.2830759	0.008655632	-0.36099017	0.61293745	0.06740222	-0.6267468	-0.518328	0.18934187	-0.4974384	-0.52369046	0.2940943	-0.2127256	1.12925	-0.2905444	0.59729123	0.0084719835	0.57410556	0.0066367076	1.3951484	0.19431973	-0.42391193	0.13741624	-0.19587272	0.6190918	0.02180025	1.0820231	-0.48950952	0.8456138	0.04867185	7
Jernej Novak	0.41389778	-0.14546521	-0.8407744	0.2573703	0.39866436	-0.16261302	0.5919697	-0.48569456	0.42630643	0.96354234	0.6473823	-0.008836983	-0.16504306	0.3266093	-0.837692	-0.40634704	-0.50228965	0.7057163	0.5184626	-0.070349224	0.58742803	1.4652866	0.35384175	-0.790848	0.22007754	0.48358724	-1.6432555	0.2707081	1.227451	-0.2186257	-0.205126	0.7384763	5
